Gradovi	Amsterdam	Ankara	Atena	Barcelona	Bec	Beograd	Berlin	Bern	Bratislava	Bruxelles	Budimpesta	Bukurest	Gijon	Istanbul	Kijev	Kisnjev	Krakow	Lisabon	Ljubljana	Madrid	Marseille	Milano	Minsk	Moskov	Munchen	Paris	Prag	Riga	Rim	Rostov	Sarajevo	Skoplje	Sofia	St. Petersburg	Talin	Tirana	Varshava	Vilnius	Zagreb
Amsterdam	-	3261	3120	1792	1258	1913	654	870	1334	202	1534	2371	1369	2812	2136	2606	1250	2166	1725	1834	1288	1221	1761	2480	824	514	1005	2242	1792	3034	2206	2550	2307	2819	2550	2404	1225	1948	1865
Ankara	3261	-	1011	3702	2006	1348	2607	2869	1927	3222	1727	896	4389	449	1820	1350	2706	4953	2173	4325	3198	2677	2773	2054	2440	3534	2256	3254	2339	981	1631	1197	954	2767	3135	1727	3000	2960	2033
Atena	3120	1011	-	2924	1997	1339	2598	2250	1918	2918	1718	1009	4012	562	1933	1463	2819	4175	1678	3547	2420	1899	3507	2788	2431	3194	2247	3988	1328	1992	1136	702	945	3501	3869	716	3113	3694	1538
Barcelona	1792	3702	2924	-	2058	2364	2446	1376	1979	1590	2179	3016	1088	3253	3319	3470	3042	1251	1529	623	504	1025	3553	4174	1805	1278	2187	4034	1596	4217	2071	2505	2748	4611	4342	2208	3017	3740	1669
Bec	1258	2006	1997	2058	-	658	642	863	79	1216	279	1116	2383	1557	1419	1570	1238	3180	529	2681	1554	1033	1749	2274	434	1528	291	2230	1604	2317	951	1295	1052	2807	2538	2216	1213	1936	669
Beograd	1913	1348	1339	2364	658	-	1259	1521	579	1874	379	1216	3041	899	1919	1670	1855	3615	835	2987	1860	1339	2366	2774	1092	2186	908	2847	1910	2329	293	637	394	3424	3155	2055	1830	2553	695
Berlin	654	2607	2598	2446	642	1259	-	1162	680	856	880	1717	2023	2158	1482	1952	596	2820	1130	2488	1942	1513	1107	1826	733	1168	351	1588	2084	2380	1552	1896	1653	2165	1896	2696	571	1294	1270
Bern	870	2869	2250	1376	863	1521	1162	-	942	668	1142	1979	1835	2420	2282	2433	1758	2627	855	1999	872	351	2269	2988	429	980	811	2750	922	3180	1397	1831	1915	3327	3058	1534	1733	2456	995
Bratislava	1334	1927	1918	1979	79	579	680	942	-	1295	200	1037	2462	1478	1340	1491	1276	3230	450	2602	1475	954	1787	2195	513	1607	329	2268	1525	2238	872	1216	973	2845	2576	2137	1251	1974	590
Bruxelles	202	3222	2918	1590	1216	1874	856	668	1295	-	1495	2332	1167	2773	2338	2786	1452	1964	1523	1632	1086	1019	1963	2682	782	312	1164	2444	1590	3236	2065	2499	2268	3021	2752	2202	1427	2150	1663
Budimpesta	1534	1727	1718	2179	279	379	880	1142	200	1495	-	837	2662	1278	1540	1291	1476	3430	650	2802	1675	1154	1987	2395	713	1807	529	2468	1725	2262	672	1016	773	3045	2776	2337	1451	2174	790
Bukurest	2371	896	1009	3016	1116	1216	1717	1979	1037	2332	837	-	3499	447	924	454	1810	4267	1487	3639	2512	1991	2498	1779	1550	2644	1366	2979	2337	1425	1509	1195	952	2492	2860	1725	2104	2685	1627
Gijon	1369	4389	4012	1088	2383	3041	2023	1835	2462	1167	2662	3499	-	3940	3505	3953	2619	797	2617	465	1592	2113	3130	3849	1949	855	2331	3611	2684	4403	3159	3593	3435	4188	3919	3296	2594	3317	2757
Istanbul	2812	449	562	3253	1557	899	2158	2420	1478	2773	1278	447	3940	-	1371	901	2257	4504	1724	3876	2749	2228	2945	2226	1991	3085	1807	3426	1890	1430	1182	748	505	2939	3307	1278	2551	3132	1584
Kijev	2136	1820	1933	3319	1419	1919	1482	2282	1340	2338	1540	924	3505	1371	-	470	886	4302	1790	3942	2815	2294	1574	855	1853	2650	1669	2055	2865	898	2212	2119	1876	1568	1936	2649	1180	1761	1930
Kisnjev	2606	1350	1463	3470	1570	1670	1952	2433	1491	2786	1291	454	3953	901	470	-	1356	4721	1941	4093	2966	2445	2044	1325	2004	3098	1820	2525	2791	971	1963	1649	1406	2038	2406	2179	1650	2231	2081
Krakow	1250	2706	2819	3042	1238	1855	596	1758	1276	1452	1476	1810	2619	2257	886	1356	-	3416	1726	3084	2538	2109	847	1566	1329	1764	947	1328	2680	1784	2148	2492	2249	1905	1636	3292	294	1034	1866
Lisabon	2166	4953	4175	1251	3180	3615	2820	2627	3230	1964	3430	4267	797	4504	4302	4721	3416	-	2780	628	1755	2276	3927	4646	2746	1652	3128	4408	2847	5200	3322	3756	3999	4985	4716	3459	3391	4114	2920
Ljubljana	1725	2173	1678	1529	529	835	1130	855	450	1523	650	1487	2617	1724	1790	1941	1726	2780	-	2152	1025	504	2237	2645	963	1799	779	2718	1075	2688	542	976	1219	3295	3026	1687	1701	2424	140
Madrid	1834	4325	3547	623	2681	2987	2488	1999	2602	1632	2802	3639	465	3876	3942	4093	3084	628	2152	-	1127	1648	3595	4314	2414	1320	2796	4076	2219	4840	2694	3128	3371	4653	4384	2831	3059	3782	2292
Marseille	1288	3198	2420	504	1554	1860	1942	872	1475	1086	1675	2512	1592	2749	2815	2966	2538	1755	1025	1127	-	521	3049	3670	1301	774	1683	3530	1092	3713	1567	2001	2244	4107	3838	1704	2513	3236	1165
Milano	1221	2677	1899	1025	1033	1339	1513	351	954	1019	1154	1991	2113	2228	2294	2445	2109	2276	504	1648	521	-	2620	3149	780	1295	1162	3101	571	3192	1046	1480	1723	3678	3409	1183	2084	2807	644
Minsk	1761	2773	3507	3553	1749	2366	1107	2269	1787	1963	1987	2498	3130	2945	1574	2044	847	3927	2237	3595	3049	2620	-	719	1840	2275	1458	481	3191	1792	2659	3003	2760	1058	789	3803	553	187	2377
Moskov	2480	2054	2788	4174	2274	2774	1826	2988	2195	2682	2395	1779	3849	2226	855	1325	1566	4646	2645	4314	3670	3149	719	-	2559	2994	2177	1200	3720	1073	3067	2974	2731	713	1081	3504	1272	906	2785
Munchen	824	2440	2431	1805	434	1092	733	429	513	782	713	1550	1949	1991	1853	2004	1329	2746	963	2414	1301	780	1840	2559	-	1094	382	2321	1351	2751	1385	1729	1486	2898	2629	1963	1304	2027	1103
Paris	514	3534	3194	1278	1528	2186	1168	980	1607	312	1807	2644	855	3085	2650	3098	1764	1652	1799	1320	774	1295	2275	2994	1094	-	1476	2756	1866	3548	2341	2775	2580	3333	3064	2478	1739	2462	1939
Prag	1005	2256	2247	2187	291	908	351	811	329	1164	529	1366	2331	1807	1669	1820	947	3128	779	2796	1683	1162	1458	2177	382	1476	-	1939	1733	2567	1201	1545	1302	2516	2247	2345	922	1645	919
Riga	2242	3254	3988	4034	2230	2847	1588	2750	2268	2444	2468	2979	3611	3426	2055	2525	1328	4408	2718	4076	3530	3101	481	1200	2321	2756	1939	-	3672	2273	3140	3484	3241	577	308	4284	1034	294	2858
Rim	1792	2339	1328	1596	1604	1910	2084	922	1525	1590	1725	2337	2684	1890	2865	2791	2680	2847	1075	2219	1092	571	3191	3720	1351	1866	1733	3672	-	3320	1617	2030	2273	4249	3980	612	2655	3378	1215
Rostov	3034	981	1992	4217	2317	2329	2380	3180	2238	3236	2262	1425	4403	1430	898	971	1784	5200	2688	4840	3713	3192	1792	1073	2751	3548	2567	2273	3320	-	2612	2178	1935	1786	2154	2708	2078	1979	2828
Sarajevo	2206	1631	1136	2071	951	293	1552	1397	872	2065	672	1509	3159	1182	2212	1963	2148	3322	542	2694	1567	1046	2659	3067	1385	2341	1201	3140	1617	2612	-	434	677	3717	3448	1852	2123	2846	402
Skoplje	2550	1197	702	2505	1295	637	1896	1831	1216	2499	1016	1195	3593	748	2119	1649	2492	3756	976	3128	2001	1480	3003	2974	1729	2775	1545	3484	2030	2178	434	-	243	3687	3792	1418	2467	3190	836
Sofia	2307	954	945	2748	1052	394	1653	1915	973	2268	773	952	3435	505	1876	1406	2249	3999	1219	3371	2244	1723	2760	2731	1486	2580	1302	3241	2273	1935	677	243	-	3444	3549	1661	2224	2947	1079
St. Petersburg	2819	2767	3501	4611	2807	3424	2165	3327	2845	3021	3045	2492	4188	2939	1568	2038	1905	4985	3295	4653	4107	3678	1058	713	2898	3333	2516	577	4249	1786	3717	3687	3444	-	368	4217	1611	871	3435
Talin	2550	3135	3869	4342	2538	3155	1896	3058	2576	2752	2776	2860	3919	3307	1936	2406	1636	4716	3026	4384	3838	3409	789	1081	2629	3064	2247	308	3980	2154	3448	3792	3549	368	-	4585	1342	602	3166
Tirana	2404	1727	716	2208	2216	2055	2696	1534	2137	2202	2337	1725	3296	1278	2649	2179	3292	3459	1687	2831	1704	1183	3803	3504	1963	2478	2345	4284	612	2708	1852	1418	1661	4217	4585	-	3267	3990	1827
Varshava	1225	3000	3113	3017	1213	1830	571	1733	1251	1427	1451	2104	2594	2551	1180	1650	294	3391	1701	3059	2513	2084	553	1272	1304	1739	922	1034	2655	2078	2123	2467	2224	1611	1342	3267	-	740	1841
Vilnius	1948	2960	3694	3740	1936	2553	1294	2456	1974	2150	2174	2685	3317	3132	1761	2231	1034	4114	2424	3782	3236	2807	187	906	2027	2462	1645	294	3378	1979	2846	3190	2947	871	602	3990	740	-	2564
Zagreb	1865	2033	1538	1669	669	695	1270	995	590	1663	790	1627	2757	1584	1930	2081	1866	2920	140	2292	1165	644	2377	2785	1103	1939	919	2858	1215	2828	402	836	1079	3435	3166	1827	1841	2564	-
