Gradovi	Amsterdam	Ankara	Atena	Barcelona	Beč	Beograd	Berlin	Bern	Bratislava	Bruxelles	Budimpešta	Bukurešt	Gijon	Istanbul	Kijev	Kišnjev	Krakow	Lisabon	Ljubljana	Madrid	Marseille	Milano	Minsk	Moskov	Munchen	Paris	Prag	Riga	Rim	Rostov	Sarajevo	Skoplje	Sofia	St. Petersburg	Talin	Tirana	Varshava	Vilnius	Zagreb
Amsterdam	-						654			202															824														
Ankara		-												449																981									
Atena			-											562																		702				716			
Barcelona				-																623	504																		
Beč					-				79																434		291												
Beograd						-					379																				293		394						
Berlin	654						-										596						1007				351										571		
Bern								-		668												351			429														
Bratislava					79				-		200				1340				450								329												
Bruxelles	202							668		-															782	312													
Budimpešta						379			200		-	837																											
Bukurešt											837	-		447		454																							
Gijon													-					797		465						855													
Istanbul		449	562									447		-																			505						
Kijev									1340						-	470	886							855						898									
Kišnjev												454			470	-														971									
Krakow							596								886		-																				294		
Lisabon													797					-		628																			
Ljubljana									450										-			504																	140
Madrid				623									465					628		-																			
Marseille				504																	-	521				774													
Milano								351											504			-							571										
Minsk							1107																-	719													553	187	
Moskov															855								719	-						1073				713					
Munchen	824				434			429		782															-		382												
Paris										312			855								774					-													
Prag					291		351		329																382		-												
Riga																												-						577	308			294	
Rim																						571							-							612			
Rostov		981													898	971								1073						-									
Sarajevo						293																									-	434							402
Skoplje			702																												434	-	243						
Sofia						394								505																		243	-						
St. Petersburg																								713				577						-	368				
Talin																												308						368	-				
Tirana			716																										612							-			
Varshava							571										294						553														-		
Vilnius																							187					294										-	
Zagreb																			140												402								-
	Amsterdam	Ankara	Atena	Barcelona	Beč	Beograd	Berlin	Bern	Bratislava	Bruxelles	Budimpešta	Bukurešt	Gijon	Istanbul	Kijev	Kišnjev	Krakow	Lisabon	Ljubljana	Madrid	Marseille	Milano	Minsk	Moskov	Munchen	Paris	Prag	Riga	Rim	Rostov	Sarajevo	Skoplje	Sofia	St. Petersburg	Talin	Tirana	Varshava	Vilnius	Zagreb
